id,trigger,conditions,script,text,options,notes
oasQHintBarEvent1,DialogOptionSelected,$option == oasQHintBarEvent1,"SetTextHighlights ""free enterprise""","$HeOrShe takes another sip. The table host spins the circular device. ""The free enterprise doesn't sound so exciting with all those pirates."" $heOrShe lectures. ""The path has become riddled with them, praying on us independent traders. Making a successful trip without losing your life is much harder than it used to be. I was lucky to survive this one.""

The spinning device comes to a halt, and the disappointed face of the captain tells you the winning streak is over. As the crowd scatters, only you remain.

The captain gives you a stare, ""Guess my luck finally ran out.""","oasQHintBarEvent2:""What is this talk of free enterprise?""
oasQHintBarEvent3:""You mentioned Osiris Alliance? Are they offering bounties?""",
oasQHintBarEvent2,DialogOptionSelected,$option == oasQHintBarEvent2,"SetTextHighlights ""Vaultron""","""They have this planet called Vaultron with vast underground techmines, full of ancient technology waiting to be salvaged. The first AI war glassed whatever remained on the surface. Some of the locals claimed the surface was destroyed during the collapse."" $heOrShe picks up their empty glass, looking at its bottom. ""Now, I don't care about the history. What I am saying is the planet is full of loot."" $heOrShe turns to face you, ""The alliance claims that you can move to their region and start a company, they'll provide protection and infrastructure.""

$HeOrShe grins, ""With the help of taxes, of course.""

$HeOrShe takes a long look at your apparel. ""For a captain like me, and you, this provides little incentive since we do our business in the vacuum of space. The problems of surface dwellers do not matter to us."" talking to you like equal. $heOrShe mutters, ""I did enjoy the profits as people pay handsomely to get to the Osiris Alliance space. But, the trips are getting harder with all the pirate activity.""",oasQHintBarEvent3:Continue,
oasQHintBarEvent3,DialogOptionSelected,$option == oasQHintBarEvent3,"SetTextHighlights ""Noel Crow"" ""Harman Fuel Station""
$global.oasQuestIntroBarEventDone = true
BeginMission oasQuestIntro","""Their military is doing who knows what? You look like the kind of a captain that could aid them. Seek Noel Crow, the quartermaster at the Harman Fuel Station, last I talked to him, he was trying to come up with a solution on his own.""

As you begin to move away from the table, the captain makes a final remark, ""Bring a lot of fuel, it's a long way.""",backToBar:Return to the bar,
oasNoelFirstTime,PickGreeting,"$id == noel_crow
!$metAlready","$contact_printedFirstReturnGreeting = true 0
$global.oasQuestIntro_completed = true
Call $global.oasQuestIntro_ref updateStage
$metAlready = true
ShowPersonVisual","The Osiris Alliance logo sticks for a few hesitant seconds, a young man with a pouting facial expression appears on the comms screen.

""Hel..."" the man takes a quick peak at something. ""..lo? Ohh you're the captain of $player.flagshipName. I was just reading the docking report. I'm Noel Crow. I was hoping to run into you at the station."" You see a glimpse of smile on his face.","oasNoelQuest1StarterOption1:""Why me?""",
oasNoelGreeting,PickGreeting,"$id == noel_crow
$metAlready","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","The Osiris Alliance logo is quickly replaced with the face of Noel Crow.

""Greetings captain, I was wondering if you'd give me a call. I noticed you were docked with your $shipOrFleet""",,
oasNoelDefaultGreeting,PickGreeting,"$contact_printedFirstReturnGreeting
$id == noel_crow score:1000","ShowPersonVisual
FireAll PopulateOptions","""Anything else? I'm quite busy so if that's all...""",,
,,,,,,
# Noel quest 1,,,,,,
oasNoelQuest1StarterOption,PopulateOptions,"$id == noel_crow
!$global.oasQuestNoel1_ref score:1000
!$global.oasQuestNoel1Accepted",,,oasNoelQuest1StarterOption2:Ask about the intel on a pirate crew,
oasNoelQuest1StarterOption1,DialogOptionSelected,$option == oasNoelQuest1StarterOption1,,"""We could use some help around here. Most of our larger fleets are patrolling the void around us, looking out for bigger things. The scary AI machines, not that I have ever seen any, or searching for Hegemony spies. As if Daud himself would be looking at us.""

""It's all history to me. They say I'm too young to understand as I was not here when it all happened. I just don't get why we waste all our military efforts on invisible boogeymen when we have pirates right at our doorsteps. But enough about us!""",oasNoelQuest1StarterOption2:Continue,
oasNoelQuest1StarterOption2,DialogOptionSelected,$option == oasNoelQuest1StarterOption2,OasShowQuestIntel noel1,"Noel taps his pad ""Now, I have fresh intel on a low level pirate crew. They have been causing trouble and are a menace at our fringe jump-point. You'd do me a great favor by getting rid of them. I can provide some credits and arrange for a shipment of our military weapons inside your cargo hold. Make it worth the trouble.""","oasNoelQuest1StarterAccept:""I'll do it.""
oasNoelQuest1StarterDecline:""I don't have time for this right now.""",
oasNoelQuest1StarterAccept,DialogOptionSelected,$option == oasNoelQuest1StarterAccept,"BeginMission oasQuestNoel1
$global.oasQuestNoel1Accepted = true
FireAll PopulateOptions","""Splendid! Now if you excuse me, I've shipments to deal with. Good luck with the pirates""",,
oasNoelQuest1StarterDecline,DialogOptionSelected,$option == oasNoelQuest1StarterDecline,FireAll PopulateOptions,"""Understandable, don't take too long. Innocent lifes are at risk as long as we do nothing to these pirates.""",,
oasQuestNoel1PirateDefeated,oasQuestNoel1PirateDefeated,$someShipsDestroyed,"SetTextHighlights ""Power Jinx R&D""",Your crew gathers everything from the destroyed ships databanks to proof the job was done. You spot the name Power Jinx R&D along the data.,,
oasQuestNoel1PirateDefeatedOption,PopulateOptions,"$id == noel_crow
$oasQuestNoel1_contact",,,"oasNoelQuest1RewardOption:""I dealt with the pirates""",
oasNoelQuest1RewardOption,DialogOptionSelected,$option == oasNoelQuest1RewardOption,"$global.oasQuestNoel1GotReward = true
Call $global.oasQuestNoel1_ref updateStage","You send all the proof you gathered from the ships to Noel.

Noel starts to talk ""I see everything is in order"", he stops talking as he reviews the data. ""Ohh, this is alarming"" he mutters. ""I might have another task for you after this one.""","oasNoelQuest1RewardOption1:""The reward?""",
oasNoelQuest1RewardOption1,DialogOptionSelected,$option == oasNoelQuest1RewardOption1,"OasAddWeapons oas_s_cannon 5 true
OasAddWeapons oas_s_shottie 5 true
OasAddWeapons oas_s_cracker 5 true
OasAddWeapons oas_s_kineticmissile 5 true
OasAddWeapons oas_s_pd 5 true
OasAddWeapons oas_s_smartbomb 5 true
OasAddWeapons oas_s_benergy 2 true
FireAll PopulateOptions","He quickly snaps out of his thought. ""Indeed, the reward, my screen tells me the weapons are delivered and should have been received by your crew.""",,
,,,,,,
# Noel quest 2,,,,,,
oasNoelQuest2StarterOption,PopulateOptions,"$id == noel_crow
$global.oasQuestNoel1_missionCompleted score:1000
!$global.oasQuestNoel2Accepted",,,"oasNoelQuest2StarterOption2pretext:""What did you find in the data?""",
oasNoelQuest2StarterOption2pretext,DialogOptionSelected,$option == oasNoelQuest2StarterOption2pretext,OasShowQuestIntel noel2,"Noel gathers his thoughts for awhile. ""We have had allegations that Power Jinx R&D makes deals with the pirates. The intel you brought to me brings merit to these allegations.""

Noel taps his pad, You receive data on a single Scorpion-class carrier to your TriPad.

""The pirates you brought to justice were serving a pirate warlord, commanding this rig. It's been causing havoc around the system. We don't fully know where it rests.""","oasNoelQuest2StarterOption3:""Power Jinx?""
oasNoelQuest2StarterOption2:Continue",
oasNoelQuest2StarterOption2,DialogOptionSelected,$option == oasNoelQuest2StarterOption2,,"Noel continues his instructions, ""Our agent in Fugura should have intel on how to find it. So head there first. Once you find the rig, I need it destroyed, bring me all physical evidence that could be linked to Power Jinx R&D""

$heOrShe looks at you, ""You up for this? I've more weapons and credits I can send your way if you do this.""","oasNoelQuest2StarterAccept:""I'll do it.""
oasNoelQuest2StarterDecline:""I don't have time for this right now""",
oasNoelQuest2StarterOption3,DialogOptionSelected,$option == oasNoelQuest2StarterOption3,,"""Besides being a huge techmining group with access to fancy blueprints, they own most of the ship dealers around here. If a ship is sold, you can bet they have their hands on some part of that deal.""",oasNoelQuest2StarterOption2:Continue,
oasNoelQuest2StarterAccept,DialogOptionSelected,$option == oasNoelQuest2StarterAccept,"BeginMission oasQuestNoel2
OasAddWeapons toopo_hound_rocket 1 true
$global.oasQuestNoel2Accepted = true
FireAll PopulateOptions","""Excellent, I'm sending a parting gift as we talk to your cargo bays, try to see if you can refit it to one of your ships"". Your comms officers confirms that a package has been received by your crew.

""One of our hot shot pilots adviced on a easy tactic to destroy that Scorpion. While your main fleet is keeping its main battery busy, have a fast ship with one of these Dogleg torpedos surprise it from the rear.""",,
oasNoelQuest2StarterDecline,DialogOptionSelected,$option == oasNoelQuest2StarterDecline,FireAll PopulateOptions,"""Come back when you have more courage or ships. We need to get to the bottom of this.""",,
oasNoelQuest2FuguraAgent,PickGreeting,"$oasQuestNoel2_agent score:1000
!$gotIntel","$gotIntel = true
Call $global.oasQuestNoel2_ref updateStage","""I was informed you need to find where a certain pirate warlord is hiding. I've found out the frequencies they used to contact their fence. You could use the Comm Relay to locate their signal source."" The $rank taps his tripad. ""You should be receiving the data. Happy hunting.""

Your CO informs you have received the data.",cutCommLink:Leave,
oasNoelQuest2UseRelayAddOpts,COB_AddOptions,"$tag:comm_relay
$id == armin_relay
$oasQuestNoel2GotIntel",,,5:COB_oas_locate:Locate the Pirate's nest,
oasNoelQuest2UseRelayDisableOpts,COB_DisableOptionsIfNeeded,"$tag:comm_relay
$id == armin_relay
$oasQuestNoel2GotIntel
HostileFleetNearbyAndAware score:100",SetEnabled COB_oas_locate false,,,
oasNoelQuest2UseRelay,DialogOptionSelected,$option == COB_oas_locate,"$cob_action = oas_locate 0
FireBest COB_ConfirmPrompt
FireBest COB_ConfirmOptions",,,
oasNoelQuest2UseRelayConfirmOpts,COB_ConfirmOptions,$cob_action == oas_locate,,,COB_confirmAction:Proceed,
oasNoelQuest2UseRelayConfirmPrompt,COB_ConfirmPrompt,"$cob_action == oas_locate
$tag:comm_relay",,"You can install a singleshot comm sniffer with a filter for the specified frequencies, no one will notice your brief tapping to the relay data.",,
oasNoelQuest2UseRelayPreAct,COB_PreActionDesc,$cob_action == oas_locate,,"A quick scan on the maintenance shortwave reveals several common vulnerabilities to choose from. Your comms officers installs the data-sniffing script, and confirms it's running on $shortName. All you can now do is wait.",,
oasNoelQuest2UseRelayPostAct,COB_PostActionDesc,"$cob_action == oas_locate
$tag:comm_relay",,"As you patiently wait, the silence is broken as your console beeps. The sniffer has done its job, locating the signal source somewhere along the Harman's belt.",,
oasNoelQuest2UseRelayAct,DialogOptionSelected,"$option == COB_confirmAction
$cob_action == oas_locate","FireBest COB_PreActionDesc
$global.oasQuestNoel2UsedRelay = true
FireBest COB_PostActionDesc
Call $global.oasQuestNoel2_ref showStation
Call $global.oasQuestNoel2_ref updateStage
FireAll COB_AddOptions
FireBest COB_DisableOptionsIfNeeded
FireAll COB_DisableIndividualOptions",,,
oasQuestNoel2PirateDefeated,oasQuestNoel2PirateDefeated,$someShipsDestroyed,,Your comms officer informs you that a few escape shuttles was aiming towards the abandoned station. You deduce the pirates were doing something over there.,,
oasAbandonedMarketDock,MarketPostDock,"$id == harman_abandoned_station score:100
$oasOccupied","$menuState = oasAbandoned 0
FireAll PopulateOptions",,,
oasQuestNoel2StationOption,PopulateOptions,"$hasMarket
$id == harman_abandoned_station score:1000
$menuState == oasAbandoned
$oasQuestNoel2_inspect",,,oasQuestNoel2StationInspected:Send crew to investigate,
oasQuestNoel2StationOptionLeave,PopulateOptions,"$hasMarket
$id == harman_abandoned_station score:1000
$menuState == oasAbandoned","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,100:marketLeave:Leave,
oasQuestNoel2StationInspected,DialogOptionSelected,$option == oasQuestNoel2StationInspected,,"You send your crew to investigate the abandoned station more thoroughly. After a few moments, you hear chatter ""Checking in, the station has power and a thin athmosphere. The pirates managed to block an area from our scanners to hide their supply stash.""",oasQuestNoel2StationInspected2:Continue,
oasQuestNoel2StationInspected2,DialogOptionSelected,$option == oasQuestNoel2StationInspected2,,"You tell the crew to continue. After a few minutes you hear more news. ""There's a working heavy destroyer here, fully equipped. Also found a few fresh bodies, looks like they couldn't agree on who gets to use the remaining escape shuttle. The shuttle itself is long gone."" A few static clicks later ""Coming home, we got something you ought to see.""",oasQuestNoel2StationInspected3:Continue,
oasQuestNoel2StationInspected3,DialogOptionSelected,$option == oasQuestNoel2StationInspected3,"unset $oasOccupied
$menuState = main 0
$global.oasQuestNoel2StationInspected = true
Call $global.oasQuestNoel2_ref seeStationPermanently
Call $global.oasQuestNoel2_ref updateStage
FireAll PopulateOptions","A working Tri-Pad from one of the dead pirates is brought to you. Skipping through personal data, you find an interesting inventory catalog. It partially matches with the supplies stashed here, but a lot more ships and supplies seem to be missing.

Obviously, the plan was to fill the station with enough equipment and supplies to support a larger fleet. Larger than the ships you encountered alongside the Scorpion-class carrier.

You feel like you should take your share of the supplies and have a look at the stashed ship.",,
oasQuestNoel2PirateDefeatedOption,PopulateOptions,"$id == noel_crow score:1000
$oasQuestNoel2_contact",,,"oasNoelQuest2RewardOption:""Rig is gone and I found some intel""",
oasQuestNoel2Pirate2Encounter,BeginFleetEncounter,"$oasQuestNoel2Pirate2 score:1000
!$oasQuestNoel2Pirate2_encounteredAlready","$oasQuestNoel2Pirate2_encounteredAlready = true
FleetDesc
HailPlayer",,,
oasQuestNoel2Pirate2OpenCommLink,OpenCommLink,"$oasQuestNoel2Pirate2 score:1000
!$entity.ignorePlayerCommRequests",$entity.ignorePlayerCommRequests = true,"The comms open with an angry looking pirate pointing a finger at you. ""Stop right there, it was you wasn't it!?"" $heOrShe screams.

""Months of planning, all in ruins because you decided to meddle in our affairs!"" The screen turns into static image. Your CO turns on the battle alarm.",cutCommLinkNoText:Continue,
oasNoelQuest2PirateAnswerHumor,DialogOptionSelected,$option == oasNoelQuest2PirateAnswerHumor,,"The pirate stutters ""I'll.."" visibly shocked at your audacity.

""I'll destroy you. That's what I'll do. I'll shove a torpedo up your engines and see how you glare up on my screen.""

You turn at your tactical officer, who informs you ""Hostiles incoming, sir."" Just as you predicted.","cutCommLinkNoText:Continue
oasNoelQuest2PirateAnswerHumor:""Wasn't much of a plan, only took a single torpedo to ruin it.""",
oasNoelQuest2PirateAnswerBargain,DialogOptionSelected,$option == oasNoelQuest2PirateAnswerBargain,,"You explain to the best of your ability, in a neutral tone how you just happened to have multiple misunderstandings, not knowing the local pirate turfs and power structures. You offer to make amends to your best ability, wishing to just keep breathing and not caring how harsh of a judgement they'll make.

$HeOrShe is still angry, but is surprisingly calm and clear in their demands ""I can forget this, provided that you will pay us $oasPirateBargainCredits monthly in credits, for the next six cycles. That should cover our expenses"" They look upon their tripad, ""In addition, you shall transmit all your current cargo to us. Call it a bond on your precious little life.""","oasNoelQuest2PirateAnswer2Agree:Accept the harsh financial terms
oasNoelQuest2PirateAnswer2Refuse:Refuse",
oasNoelQuest2PirateAnswer2Agree,DialogOptionSelected,$option == oasNoelQuest2PirateAnswer2Agree,,"""Agreed""",cutCommLinkNoText:Continue,
oasNoelQuest2PirateAnswer2Refuse,DialogOptionSelected,$option == oasNoelQuest2PirateAnswer2Refuse,,"""Refused""",cutCommLinkNoText:Continue,
oasNoelQuest2PirateAnswerStory,DialogOptionSelected,$option == oasNoelQuest2PirateAnswerStory,,"""You bluff and buff""",cutCommLinkNoText:Continue,
oasNoelQuest2RewardOption,DialogOptionSelected,$option == oasNoelQuest2RewardOption,"$global.oasQuestNoel2GotReward = true
Call $global.oasQuestNoel2_ref updateStage","You upload the data to Noel. He takes a quick look at it ""Excellent news, I doubt anyone here would care much if you were to use that Abandoned station for storage. You'd be a better neighbour than a pirate crew.""","oasNoelQuest2RewardOption1:""The reward?""",
oasNoelQuest2RewardOption1,DialogOptionSelected,$option == oasNoelQuest2RewardOption1,"OasAddWeapons oas_m_cannon 5 true
OasAddWeapons oas_m_shottie 5 true
OasAddWeapons oas_m_trident 5 true
OasAddWeapons oas_m_cracker 5 true
OasAddWeapons oas_m_pd 5 true
OasAddWeapons oas_m_smartbomb 5 true
OasAddWeapons oas_m_benergy 2 true
AddPotentialContact noel_crow
FireAll PopulateOptions","Noel looks at you, not amused ""You don't have to constantly remind me of your reward. It's already been delivered.""

He continues before you can cut in. ""Unfortunately, the brass has noticed our little working relationship. I've received word that I should continue working with you in a more official capacity. You can add me as a contact if you wish.""

Noel is clearly annoyed by the official constraints, ""If we only had more time, We could have solved the Power Jinx situation in a more thorough manner. Maybe in the future, who knows?""",,
